index,code,token,lstm_surp,mean_rt,entropy,entred,rt_spill_over,rt_spill_over_inc_unk,ngram_surp,gru_surp,tanh_surp,count,log_freq,len
184,24559,the,5.99027681350708,316.31368421052633,8.18185043334961,1.4585304260253906,292.0336842105264,292.0336842105264,6.16037,6.998772144317627,4.269806385040283,41100,4.613841821876069,3
4448,24560,shore,26.526830673217773,292.0336842105264,10.583207130432127,0.0,295.1563157894737,295.1563157894737,18.0862,16.064836502075195,16.30422019958496,13,1.1139433523068367,5
2387,24561,as,7.954010009765625,295.1563157894737,6.131706237792969,4.45150089263916,270.3231578947369,270.3231578947369,8.48637,23.223031997680664,7.971673488616943,4256,3.6290016192869916,2
3606,24562,far,8.284676551818848,270.3231578947369,8.276215553283691,0.0,301.1336842105263,301.1336842105263,7.84252,26.383432388305664,11.803780555725098,306,2.48572142648158,3
4449,24563,away,14.566018104553224,301.1336842105263,1.7803007364273071,6.495914816856384,282.9031578947368,282.9031578947368,4.32966,46.23419952392578,12.388418197631836,174,2.2405492482826,4
2388,24564,as,4.427013874053955,282.9031578947368,5.994575023651123,0.0,304.16105263157897,304.16105263157897,1.68939,23.222143173217773,7.971673488616943,4256,3.6290016192869916,2
4454,24565,San,13.541193008422852,304.16105263157897,9.055185317993164,0.0,,434.68894736842105,13.5717,21.136926651000977,11.688468933105469,327,2.514547752660286,3
1390,24567,The,3.103843927383423,377.6842105263158,9.515584945678713,0.0,382.0778947368421,382.0778947368421,2.68215,56.074493408203125,7.581467151641846,6829,3.834357112718405,3
3837,24568,ancient,16.846940994262695,382.0778947368421,11.167587280273438,0.0,,394.89,18.2344,14.02716827392578,17.67442512512207,4,0.6020599913279624,7
4455,24570,recorded,14.647432327270508,428.1494736842105,10.52241325378418,0.8188848495483398,347.1505263157895,347.1505263157895,15.5201,22.40447235107422,14.981810569763184,35,1.5440680443502757,8
4179,24571,several,9.57823657989502,347.1505263157895,9.18590259552002,1.3365106582641602,464.0378947368421,464.0378947368421,11.6457,76.50605773925781,11.438090324401855,347,2.5403294747908736,7
4456,24572,catastrophic,14.207680702209473,464.0378947368421,10.339183807373049,0.0,,489.31,16.0021,16.234655380249023,16.418373107910156,12,1.0791812460476249,12
672,24574,by,6.192487716674805,487.65578947368414,7.455735206604004,3.495354652404785,353.49368421052634,353.49368421052634,7.45831,15.064422607421877,7.761186122894287,4495,3.6527296960692475,2
4457,24575,huge,12.127666473388672,353.49368421052634,8.33112621307373,0.0,,327.3226315789474,13.7792,67.0237045288086,12.964415550231934,122,2.0863598306747484,4
4459,24577,Whether,12.193900108337402,318.52736842105264,9.515584945678713,0.0,290.6978947368421,290.6978947368421,12.5747,33.191349029541016,16.500038146972656,10,1.0,7
1112,24578,or,11.936395645141602,290.6978947368421,6.282597064971924,3.232987880706787,266.8905263157895,266.8905263157895,5.28532,30.70247459411621,9.13443374633789,2500,3.3979400086720375,2
2862,24579,not,9.287604331970217,266.8905263157895,9.950429916381836,0.0,,304.53210526315786,7.03533,36.218994140625,9.594300270080566,1300,3.113943352306837,3
4460,24581,tale,17.67273712158203,316.37105263157895,9.57467555999756,0.0,312.70736842105265,312.70736842105265,15.15,15.215343475341797,16.645145416259766,11,1.0413926851582251,4
780,24582,of,1.1563297510147097,312.70736842105265,4.406408309936523,5.168267250061035,297.55157894736845,297.55157894736845,0.754758,13.592414855957031,5.1755690574646,22921,4.360233561157832,2
185,24583,the,1.899037718772888,297.55157894736845,8.460447311401367,0.0,298.14578947368426,298.14578947368426,3.42277,6.859781742095947,4.269806385040283,41100,4.613841821876069,3
4461,24584,lost,13.874800682067873,298.14578947368426,11.225172996520996,0.0,335.2315789473684,335.2315789473684,12.4541,20.82842063903809,12.572569847106934,163,2.2121876044039577,4
4463,24585,continent,16.52094078063965,335.2315789473684,11.418350219726562,0.0,358.4842105263158,358.4842105263158,17.2423,17.33437156677246,18.99854278564453,2,0.3010299956639812,9
781,24586,of,4.839273452758789,358.4842105263158,5.468177795410156,5.950172424316406,439.2647368421053,439.2647368421053,6.898,13.629526138305664,5.1755690574646,22921,4.360233561157832,2
4464,24587,Atlantis,16.948551177978516,439.2647368421053,8.64612865447998,0.0,342.51,342.51,16.7115,15.91179084777832,16.899150848388672,10,1.0,8
477,24588,is,7.806048393249512,342.51,10.816367149353027,0.0,,371.5168421052632,7.68302,20.96389389038086,6.9329118728637695,6938,3.841234295506041,2
4465,24590,skeptics,17.859865188598633,373.2463157894737,7.306109428405762,2.049928665161133,396.7473684210526,396.7473684210526,17.0433,35.81036376953125,17.68775749206543,5,0.6989700043360189,8
4466,24591,concede,17.321552276611328,396.7473684210526,5.970259189605713,1.3358502388000488,365.5968421052632,365.5968421052632,15.4198,24.4656925201416,16.48552703857422,12,1.0791812460476249,7
1147,24592,that,0.7656236886978149,365.5968421052632,2.928037643432617,3.042221546173096,307.2757894736842,307.2757894736842,0.494261,8.409526824951172,7.062049388885498,7992,3.902655475217926,4
186,24593,the,1.8690507411956787,307.2757894736842,8.279973983764648,0.0,,334.5126315789474,3.83016,6.840377330780029,4.269806385040283,41100,4.613841821876069,3
1822,24595,may,7.506573677062988,324.64684210526315,9.785818099975586,0.9985828399658204,288.13157894736844,288.13157894736844,9.91622,66.93746948242188,10.164602279663086,808,2.9074113607745864,3
1185,24596,have,3.706549406051636,288.13157894736844,7.654799461364746,2.13101863861084,339.4121052631579,339.4121052631579,4.51023,29.55900001525879,8.507259368896484,3042,3.4831592097169795,4
4356,24597,some,8.14069938659668,339.4121052631579,6.982365131378174,0.6724343299865723,313.2652631578947,313.2652631578947,8.58249,42.39645767211914,9.754422187805176,1284,3.1085650237328344,4
4467,24598,foundation,14.067845344543455,313.2652631578947,11.060328483581545,0.0,303.4357894736842,303.4357894736842,15.9657,38.57464218139648,16.234766006469727,13,1.1139433523068367,10
